"concept","frequency","relative_frequency-across_texts","relative_percentage-across_texts","tf-idf","gram_type","number_of_texts"
"overnighted","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"inflexibility","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"advocated","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"araque","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"x-mas","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"reznikova","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"chairs","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"irrespective","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"rejection","4","0.0023952095808383233","2.073301577264175E-5","1.4749376422551374E-4","single","3"
"gauntlet","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"ests","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"globally","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"ropical","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"drawing","6","0.003592814371257485","3.109952365896262E-5","2.0535421276635582E-4","single","5"
"returnning","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"relief","13","0.007784431137724551","6.738230126108568E-5","3.8054956761318366E-4","single","13"
"relied","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"drip","5","0.0029940119760479044","2.5916269715802187E-5","1.9487534838397025E-4","single","2"
"utexas","2","0.0011976047904191617","1.0366507886320875E-5","8.513565506724386E-5","single","1"
"inefficient","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"advised","19","0.011377245508982036","9.848182492004831E-5","5.188149991047815E-4","single","19"
"ention","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"times","107","0.06407185628742515","5.546081719181668E-4","0.0021602433561707583","single","75"
"mcilvoy","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"swords","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"sunjay","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"notation","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"termed","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"manliness","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"bpat","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"formally","6","0.003592814371257485","3.109952365896262E-5","2.1229387091979704E-4","single","4"
"confused","20","0.011976047904191617","1.0366507886320875E-4","5.408037282814043E-4","single","20"
"airborne","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"consultant","24","0.01437125748502994","1.243980946358505E-4","6.933341573680123E-4","single","14"
"cutting","3","0.0017964071856287425","1.554976182948131E-5","1.1692520903038214E-4","single","2"
"elapsed","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"analyze","5","0.0029940119760479044","2.5916269715802187E-5","1.7112851063862987E-4","single","5"
"advocates","13","0.007784431137724551","6.738230126108568E-5","3.8054956761318366E-4","single","13"
"slater","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"rectify","5","0.0029940119760479044","2.5916269715802187E-5","1.7112851063862987E-4","single","5"
"este","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"redistribute","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"ercot","125","0.0748502994011976","6.479067428950547E-4","0.002914930059458296","single","41"
"jae","12","0.00718562874251497","6.219904731792525E-5","3.6166712886724796E-4","single","11"
"svmg","2","0.0011976047904191617","1.0366507886320875E-5","8.513565506724386E-5","single","1"
"allencenter","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"basin","13","0.007784431137724551","6.738230126108568E-5","4.0532770952875425E-4","single","9"
"basis","86","0.05149700598802395","4.457598391117976E-4","0.0017483186576894858","single","73"
"drom","4","0.0023952095808383233","2.073301577264175E-5","1.4749376422551374E-4","single","3"
"consumption","5","0.0029940119760479044","2.5916269715802187E-5","1.7691155909983086E-4","single","4"
"drop","37","0.02215568862275449","1.9178039589693618E-4","8.987228012577962E-4","single","34"
"infant","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"rolodex","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"entity","50","0.029940119760479042","2.5916269715802186E-4","0.0011597268373211846","single","42"
"kerri","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"larkworthy","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"royed","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"agressive","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jurisdictional","4","0.0023952095808383233","2.073301577264175E-5","1.415292472798647E-4","single","4"
"jas","3","0.0017964071856287425","1.554976182948131E-5","1.277034826008658E-4","single","1"
"estimated","25","0.014970059880239521","1.2958134857901093E-4","6.578941193787604E-4","single","23"
"basic","12","0.00718562874251497","6.219904731792525E-5","3.562551041126722E-4","single","12"
"jar","20","0.011976047904191617","1.0366507886320875E-4","7.374688211275686E-4","single","3"
"civilian","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jal","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"affectionate","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jak","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"derived","5","0.0029940119760479044","2.5916269715802187E-5","1.7112851063862987E-4","single","5"
"kerry","11","0.006586826347305389","5.701579337476481E-5","3.369623869798791E-4","single","10"
"jan","62","0.037125748502994015","3.2136174447594713E-4","0.0013820307696301329","single","50"
"jam","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"mariaelena","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"jai","7","0.004191616766467066","3.628277760212306E-5","2.273717675634654E-4","single","7"
"napanews","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"dozens","5","0.0029940119760479044","2.5916269715802187E-5","1.7112851063862987E-4","single","5"
"extremist","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"guinn","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"mitting","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"belongs","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"advises","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"breach-of-contract","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"adviser","2","0.0011976047904191617","1.0366507886320875E-5","8.513565506724386E-5","single","1"
"resist","5","0.0029940119760479044","2.5916269715802187E-5","1.7112851063862987E-4","single","5"
"wbls","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jay","42","0.025149700598802394","2.1769666561273837E-4","9.847919994041786E-4","single","40"
"jaw","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"ellington","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"relics","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"halstead","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jbu","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"miscellaneous","4","0.0023952095808383233","2.073301577264175E-5","1.415292472798647E-4","single","4"
"weary","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"flagstaff","19","0.011377245508982036","9.848182492004831E-5","5.820259411470638E-4","single","10"
"garret","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"column","10","0.005988023952095809","5.183253943160437E-5","3.17895539631383E-4","single","8"
"fewer","6","0.003592814371257485","3.109952365896262E-5","1.9968409919730336E-4","single","6"
"wears","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"update","97","0.05808383233532934","5.027756324865624E-4","0.0018779834220066759","single","88"
"espn","4","0.0023952095808383233","2.073301577264175E-5","1.415292472798647E-4","single","4"
"pelote","4","0.0023952095808383233","2.073301577264175E-5","1.415292472798647E-4","single","4"
"ees-related","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"coolers","4","0.0023952095808383233","2.073301577264175E-5","1.4749376422551374E-4","single","3"
"sclearing","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"clickathome","10","0.005988023952095809","5.183253943160437E-5","3.897506967679405E-4","single","2"
"riskmantra","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"edelstein","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"doorstep_report","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","ngram","1"
"brightness","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"twin","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"minimizi","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"ciated","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"wbom","4","0.0023952095808383233","2.073301577264175E-5","1.7027131013448772E-4","single","1"
"fdcfdf","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"conspicuously","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"brats","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"esps","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"reached","53","0.03173652694610778","2.7471245898750315E-4","0.0012496688308213817","single","39"
"kingman-sta","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"vikram","3","0.0017964071856287425","1.554976182948131E-5","1.1692520903038214E-4","single","2"
"estimates","16","0.009580838323353293","8.2932063090567E-5","4.82222838489664E-4","single","11"
"injection","12","0.00718562874251497","6.219904731792525E-5","3.8147464755765954E-4","single","8"
"magnitude","4","0.0023952095808383233","2.073301577264175E-5","1.415292472798647E-4","single","4"
"helle","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"minimize","4","0.0023952095808383233","2.073301577264175E-5","1.415292472798647E-4","single","4"
"assertion","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"reaches","4","0.0023952095808383233","2.073301577264175E-5","1.4749376422551374E-4","single","3"
"hello","55","0.03293413173652695","2.8507896687382403E-4","0.0012040550634784964","single","54"
"entire","41","0.024550898203592814","2.1251341166957793E-4","9.837350934846468E-4","single","36"
"navigator","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"pre-game","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"metered","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"royal","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"anyone","124","0.07425149700598803","6.427234889518943E-4","0.0022121795476433897","single","118"
"hospitali","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"accessed","6","0.003592814371257485","3.109952365896262E-5","1.9968409919730336E-4","single","6"
"nngc-cert-of-inc","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"suspicious","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"consolidated","6","0.003592814371257485","3.109952365896262E-5","2.0535421276635582E-4","single","5"
"vann","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"conforme","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"two-day","4","0.0023952095808383233","2.073301577264175E-5","1.415292472798647E-4","single","4"
"poolgtc","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"poccc","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"hertzberg","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"rewrite","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"reconfigured","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"phyld","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jmf","48","0.02874251497005988","2.48796189271701E-4","0.0010961726003154715","single","45"
"bokeloh","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"babiuk","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"tolerance","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"discrepancy","6","0.003592814371257485","3.109952365896262E-5","2.1229387091979704E-4","single","4"
"write-off","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"purge","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"constructing","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"increment","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"spanish","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"volleyball","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"job","111","0.06646706586826347","5.753411876908086E-4","0.0021622593924181988","single","86"
"councilmen","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jod","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"resign","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"dominion","7","0.004191616766467066","3.628277760212306E-5","2.3296478239685393E-4","single","6"
"asserting","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"hamburger","4","0.0023952095808383233","2.073301577264175E-5","1.559002787071762E-4","single","2"
"re-enlistment","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"shoulders","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"garris","9","0.005389221556886228","4.6649285488443934E-5","2.8610598566824466E-4","single","8"
"daltonics","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"bozo","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"suggs","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"anti-virus","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"conforms","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"filters","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"pick-up","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"embark","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"unintended","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"assistance","54","0.032335329341317366","2.798957129306636E-4","0.0012037042187101157","single","50"
"explicitly","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"joy","5","0.0029940119760479044","2.5916269715802187E-5","1.7112851063862987E-4","single","5"
"counties","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"briefs","5","0.0029940119760479044","2.5916269715802187E-5","1.8436720528189216E-4","single","3"
"lyons","4","0.0023952095808383233","2.073301577264175E-5","1.415292472798647E-4","single","4"
"space","14","0.008383233532934131","7.256555520424612E-5","4.2194498367845596E-4","single","11"
"joh","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jog","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"hmmm","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"joe","94","0.0562874251497006","4.872258706570811E-4","0.0018849614095328504","single","77"
"jol","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"walk-a-thon","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"sampledoc","2","0.0011976047904191617","1.0366507886320875E-5","8.513565506724386E-5","single","1"
"reside","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"murr","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"boys","15","0.008982035928143712","7.774880914740656E-5","4.3333384835500776E-4","single","14"
"rather","65","0.038922155688622756","3.369115063054284E-4","0.0013819080838751777","single","61"
"resida","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jon","28","0.016766467065868262","1.4513111040849225E-4","7.306646896050546E-4","single","24"
"discriminatory","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"oatiinc","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"construction","59","0.035329341317365266","3.058119826464658E-4","0.0014330985209245939","single","34"
"hinojosa","4","0.0023952095808383233","2.073301577264175E-5","1.415292472798647E-4","single","4"
"analyse","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"aimed","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"esko","2","0.0011976047904191617","1.0366507886320875E-5","8.513565506724386E-5","single","1"
"responding","6","0.003592814371257485","3.109952365896262E-5","1.9968409919730336E-4","single","6"
"mismanagement","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"sleeps","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"helps","14","0.008383233532934131","7.256555520424612E-5","4.0444492513134057E-4","single","14"
"boyd","7","0.004191616766467066","3.628277760212306E-5","2.273717675634654E-4","single","7"
"jpg","73","0.043712574850299404","3.7837753785071194E-4","0.0019933418386657393","single","19"
"asians","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"municipally","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"benchluch","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"long-standing","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"recall","13","0.007784431137724551","6.738230126108568E-5","3.9822827552167523E-4","single","10"
"polykron","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"coralina","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"warning","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"manufacturing","5","0.0029940119760479044","2.5916269715802187E-5","1.8436720528189216E-4","single","3"
"foosball","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"huber","10","0.005988023952095809","5.183253943160437E-5","3.328068319955056E-4","single","6"
"single","26","0.015568862275449102","1.3476460252217137E-4","6.729729947675805E-4","single","25"
"formulate","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"reluctantly","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"spain","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"singla","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"purch","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jim","256","0.1532934131736527","0.001326913009449072","0.0038406812429641044","single","204"
"twpl","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"inserted","5","0.0029940119760479044","2.5916269715802187E-5","1.7691155909983086E-4","single","4"
"jin","2","0.0011976047904191617","1.0366507886320875E-5","8.513565506724386E-5","single","1"
"skewed","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"bradford","9","0.005389221556886228","4.6649285488443934E-5","2.8061149121221446E-4","single","9"
"muscles","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"willkie","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"pray","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jia","2","0.0011976047904191617","1.0366507886320875E-5","8.513565506724386E-5","single","1"
"grandma","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"currrent","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"opus","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"analyst","57","0.03413173652694611","2.954454747601449E-4","0.0013151366155674533","single","43"
"manson","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"contract","270","0.16167664670658682","0.001399478564653318","0.004462500333774209","single","152"
"vail","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"tightens","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"sworth","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"jacob","4","0.0023952095808383233","2.073301577264175E-5","1.4749376422551374E-4","single","3"
"embedded","54","0.032335329341317366","2.798957129306636E-4","0.0012525049843068795","single","42"
"creditworhiness","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"andre","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"vain","3","0.0017964071856287425","1.554976182948131E-5","1.1692520903038214E-4","single","2"
"double-counting","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"sadeghian","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
"disregarding","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"tomorrw","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"bottomleft","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"billiton","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"interoffice","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"grandpa","3","0.0017964071856287425","1.554976182948131E-5","1.1062032316913529E-4","single","3"
"gaming","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"watson","27","0.016167664670658683","1.399478564653318E-4","6.988565714894105E-4","single","25"
"l-t","2","0.0011976047904191617","1.0366507886320875E-5","8.513565506724386E-5","single","1"
"deployed","1","5.988023952095808E-4","5.183253943160438E-6","4.256782753362193E-5","single","1"
"defensive","2","0.0011976047904191617","1.0366507886320875E-5","7.79501393535881E-5","single","2"
