source,source_type,target,target_type,weight
then,concept,through,concept,1
business,concept,management,concept,1
some,concept,still,concept,1
picture,concept,picture,concept,2
report,concept,available,concept,1
ask,concept,early,concept,1
back,concept,information,concept,5
corporate,concept,sheet,concept,1
some,concept,time,concept,5
information,concept,need,concept,2
bill,agent,did,concept,1
make,concept,more,concept,1
meeting,concept,monday,concept,3
friend,concept,picture,concept,1
going,concept,california,location,1
call,concept,need,concept,4
today,concept,john,agent,2
gas,concept,company,concept,6
well,concept,did,concept,2
california,location,company,concept,2
committee,concept,power,concept,1
send,concept,kim,agent,1
operations,concept,marketing,concept,1
marketing,concept,today,concept,2
operations,concept,term,concept,1
ok,concept,send,concept,1
total,concept,start,concept,2
need,concept,enron,concept,1
access,concept,trading,concept,1
power,concept,gas,concept,1
time,concept,like,concept,1
independent,concept,independent,concept,1
company,concept,issues,concept,1
gas,concept,gas,concept,3
thank,concept,look,concept,1
enron,concept,trading,concept,1
kim,agent,call,concept,1
permit,concept,permit,concept,2
meeting,concept,know,concept,1
operating,concept,permit,concept,1
working,concept,jim,agent,1
time,concept,work,concept,1
today,concept,like,concept,1
sure,concept,sure,concept,1
order,concept,trading,concept,3
different,concept,different,concept,1
today,concept,then,concept,1
gas,concept,power,concept,6
enron,concept,john,agent,2
california,location,like,concept,1
some,concept,today,concept,1
total,concept,contract,concept,2
america,concept,smith,agent,6
turn,concept,turn,concept,2
back,concept,day,concept,1
like,concept,company,concept,1
issue,concept,provide,concept,1
did,concept,did,concept,3
power,concept,jim,agent,1
send,concept,still,concept,1
back,concept,later,concept,3
anyone,concept,going,concept,3
manager,concept,center,concept,1
process,concept,final,concept,1
energy,concept,company,concept,16
currently,concept,cash,concept,2
look,concept,monday,concept,1
need,concept,amount,concept,2
trading,concept,price,concept,2
ask,concept,least,concept,1
provide,concept,time,concept,1
week,concept,message,concept,1
business,concept,comments,concept,1
services,concept,services,concept,1
time,concept,some,concept,1
ercot,concept,ercot,concept,2
then,concept,order,concept,3
york,concept,york,concept,1
need,concept,power,concept,1
know,concept,think,concept,5
then,concept,need,concept,1
trading,concept,next,concept,1
know,concept,need,concept,2
price,concept,like,concept,1
know,concept,last,concept,3
later,concept,need,concept,1
know,concept,people,concept,2
back,concept,final,concept,1
call,concept,like,concept,1
back,concept,then,concept,1
ever,concept,tim,concept,1
date,concept,date,concept,2
john,agent,enron,concept,3
elizabeth,agent,elizabeth,agent,3
energy,concept,going,concept,1
items,concept,need,concept,2
know,concept,available,concept,4
know,concept,more,concept,1
working,concept,steve,agent,1
use,concept,use,concept,1
access,concept,time,concept,1
federal,concept,signed,concept,1
like,concept,day,concept,2
california,location,power,concept,3
send,concept,back,concept,2
number,concept,number,concept,1
enron,concept,said,concept,10
following,concept,let,concept,1
city,concept,lunch,concept,1
document,concept,changes,concept,1
work,concept,office,concept,2
gas,concept,price,concept,1
complete,concept,necessary,concept,1
eol,concept,trading,concept,1
several,concept,program,concept,1
some,concept,said,concept,2
last,concept,state,concept,1
wholesale,concept,prices,concept,3
trade,concept,currently,concept,1
good,concept,chris,agent,2
next,concept,way,concept,1
meeting,concept,meeting,concept,1
well,concept,time,concept,1
york,concept,state,concept,1
need,concept,houston,location,1
north,concept,america,concept,13
time,concept,weeks,concept,2
senate,concept,company,concept,6
chris,agent,north,concept,1
price,concept,california,location,2
kim,agent,make,concept,1
houston,location,texas,location,10
use,concept,following,concept,1
john,agent,without,concept,2
well,concept,deal,concept,2
agreements,concept,close,concept,2
jim,agent,committee,concept,1
received,concept,office,concept,2
working,concept,committee,concept,5
need,concept,next,concept,1
through,concept,committee,concept,1
office,concept,well,concept,1
back,concept,last,concept,3
everyone,concept,job,concept,1
discuss,concept,commission,concept,1
call,concept,revised,concept,1
trade,concept,swaps,concept,1
need,concept,information,concept,2
gas,concept,electric,concept,1
like,concept,make,concept,3
date,concept,discuss,concept,1
provide,concept,elizabeth,agent,1
copy,concept,federal,concept,1
energy,concept,services,concept,1
off,concept,north,concept,1
information,concept,meeting,concept,3
well,concept,joe,agent,1
west,concept,air,concept,1
next,concept,texas,location,1
appreciate,concept,time,concept,1
did,concept,deal,concept,3
time,concept,through,concept,1
like,concept,issues,concept,1
term,concept,term,concept,2
last,concept,did,concept,2
generators,concept,gary,agent,1
let,concept,look,concept,2
going,concept,deal,concept,1
committee,concept,full,concept,2
enron,concept,time,concept,4
signed,concept,federal,concept,1
contracts,concept,traders,concept,1
sign,concept,close,concept,1
meeting,concept,comments,concept,1
susan,agent,tom,agent,1
independent,concept,management,concept,1
changes,concept,like,concept,1
date,concept,earlier,concept,2
mike,agent,well,concept,2
response,concept,talked,concept,1
like,concept,power,concept,1
energy,concept,state,concept,2
file,concept,report,concept,1
did,concept,think,concept,1
review,concept,california,location,1
contracts,concept,did,concept,1
said,concept,enron,concept,15
debra,agent,america,concept,6
questions,concept,order,concept,1
friend,concept,once,concept,1
steve,agent,review,concept,1
enron,concept,file,concept,1
permit,concept,director,concept,2
time,concept,need,concept,1
need,concept,like,concept,1
state,concept,energy,concept,2
supply,concept,office,concept,2
more,concept,generators,concept,2
terms,concept,sheet,concept,1
call,concept,upon,concept,1
power,concept,state,concept,3
product,concept,sales,concept,2
site,concept,via,concept,1
company,concept,received,concept,4
last,concept,back,concept,1
regulatory,concept,commission,concept,2
like,concept,houston,location,1
every,concept,public,concept,1
earlier,concept,process,concept,1
product,concept,weather,concept,1
let,concept,like,concept,3
time,concept,pm,concept,1
provide,concept,send,concept,2
taking,concept,good,concept,2
like,concept,meeting,concept,4
enron,concept,america,concept,12
tomorrow,concept,discuss,concept,1
information,concept,energy,concept,2
know,concept,year,concept,3
next,concept,deal,concept,1
term,concept,john,agent,3
decision,concept,judge,concept,4
next,concept,process,concept,1
call,concept,time,concept,2
found,concept,having,concept,1
having,concept,more,concept,1
help,concept,west,concept,1
week,concept,deal,concept,1
call,concept,amount,concept,2
coming,concept,department,concept,1
good,concept,day,concept,1
early,concept,process,concept,1
following,concept,items,concept,3
dorland,concept,eol,concept,1
good,concept,year,concept,2
want,concept,know,concept,2
events,concept,went,concept,1
want,concept,back,concept,2
regulatory,concept,bob,agent,1
central,concept,traders,concept,1
information,concept,correct,concept,1
gisb,concept,america,concept,1
send,concept,morning,concept,3
management,concept,department,concept,1
call,concept,discuss,concept,7
enron,concept,services,concept,3
friday,concept,state,concept,1
independent,concept,state,concept,1
information,concept,full,concept,1
discuss,concept,some,concept,1
more,concept,prices,concept,1
through,concept,next,concept,1
more,concept,effective,concept,1
independent,concept,energy,concept,3
date,concept,some,concept,1
agreement,concept,said,concept,6
cell,concept,like,concept,2
going,concept,week,concept,1
way,concept,let,concept,1
enron,concept,portland,concept,1
issues,concept,order,concept,1
document,concept,close,concept,2
management,concept,pipeline,concept,1
monday,concept,back,concept,1
business,concept,operations,concept,2
october,concept,look,concept,1
final,concept,changes,concept,1
understand,concept,last,concept,1
want,concept,currently,concept,1
happy,concept,send,concept,2
then,concept,capacity,concept,1
california,location,some,concept,2
enron,concept,today,concept,4
good,concept,language,concept,1
trading,concept,company,concept,3
wholesale,concept,judge,concept,2
changes,concept,make,concept,1
enron,concept,agree,concept,4
need,concept,off,concept,1
know,concept,discuss,concept,1
dan,concept,real,concept,1
said,concept,company,concept,7
change,concept,process,concept,1
utility,concept,rates,concept,1
contempt,concept,charge,concept,8
enron,concept,information,concept,1
more,concept,trading,concept,1
good,concept,currently,concept,1
picture,concept,information,concept,1
people,concept,day,concept,2
chris,agent,access,concept,1
want,concept,every,concept,1
well,concept,talking,concept,2
think,concept,help,concept,4
though,concept,longer,concept,1
discuss,concept,details,concept,1
change,concept,products,concept,1
always,concept,yes,concept,3
general,concept,help,concept,1
participants,concept,ask,concept,1
day,concept,more,concept,1
day,concept,year,concept,1
back,concept,time,concept,1
traders,concept,swaps,concept,1
way,concept,know,concept,1
price,concept,wholesale,concept,6
want,concept,week,concept,1
change,concept,ferc,concept,1
purchase,concept,sale,concept,2
info,concept,discussed,concept,1
order,concept,today,concept,1
sure,concept,gas,concept,1
good,concept,afternoon,concept,2
know,concept,books,concept,1
call,concept,questions,concept,5
enron,concept,eb,concept,6
did,concept,senate,concept,1
copy,concept,jones,agent,4
sheet,concept,supply,concept,1
know,concept,working,concept,2
customers,concept,order,concept,1
next,concept,week,concept,16
although,concept,far,concept,1
need,concept,call,concept,2
state,concept,sales,concept,1
make,concept,site,concept,3
agreement,concept,enron,concept,4
independent,concept,picture,concept,1
year,concept,like,concept,2
list,concept,items,concept,2
contempt,concept,sign,concept,1
make,concept,today,concept,1
site,concept,reports,concept,1
calpine,concept,did,concept,1
available,concept,call,concept,1
price,concept,today,concept,1
discuss,concept,index,concept,1
visit,concept,more,concept,1
issue,concept,need,concept,2
prices,concept,more,concept,1
law,concept,give,concept,1
committee,concept,contempt,concept,12
trading,concept,more,concept,1
year,concept,level,concept,3
let,concept,make,concept,2
send,concept,email,concept,5
far,concept,tell,concept,1
decision,concept,want,concept,3
plant,concept,mark,concept,1
date,concept,call,concept,1
year,concept,john,agent,1
buying,concept,power,concept,1
senate,concept,market,concept,8
power,concept,contracts,concept,5
steve,agent,agreement,concept,1
take,concept,parties,concept,1
said,concept,give,concept,1
america,concept,eb,concept,6
market,concept,enron,concept,4
taking,concept,real,concept,1
larry,concept,like,concept,1
paid,concept,through,concept,1
business,concept,california,location,2
call,concept,comments,concept,1
electric,concept,purchase,concept,1
back,concept,changes,concept,1
jim,agent,jeff,agent,1
senate,concept,yet,concept,2
energy,concept,market,concept,7
capacity,concept,contract,concept,1
meeting,concept,tomorrow,concept,1
agree,concept,requested,concept,4
send,concept,copies,concept,1
morning,concept,morning,concept,1
let,concept,think,concept,4
down,concept,number,concept,1
committee,concept,heard,concept,4
received,concept,today,concept,2
contract,concept,then,concept,1
issues,concept,october,concept,1
time,concept,make,concept,1
send,concept,floor,concept,1
committee,concept,working,concept,1
unit,concept,like,concept,1
bad,concept,talked,concept,1
jeff,agent,tim,concept,1
questions,concept,comments,concept,2
some,concept,california,location,1
order,concept,california,location,2
public,concept,company,concept,1
need,concept,then,concept,1
number,concept,california,location,2
marketing,concept,call,concept,2
dorland,concept,requested,concept,1
department,concept,water,concept,2
sorry,concept,power,concept,1
problems,concept,week,concept,2
ercot,concept,manager,concept,1
available,concept,date,concept,1
larry,concept,next,concept,1
want,concept,order,concept,2
pm,concept,presentation,concept,1
take,concept,thank,concept,1
actually,concept,well,concept,3
enron,concept,marketing,concept,5
some,concept,system,concept,1
back,concept,morning,concept,3
dorland,concept,trading,concept,1
coming,concept,morning,concept,1
center,concept,location,concept,1
gas,concept,firm,concept,2
site,concept,permit,concept,3
power,concept,regulatory,concept,1
back,concept,start,concept,2
signed,concept,judge,concept,2
members,concept,members,concept,1
gas,concept,call,concept,1
week,concept,week,concept,3
enron,concept,west,concept,1
electric,concept,sale,concept,1
tell,concept,contact,concept,1
information,concept,enron,concept,4
time,concept,back,concept,1
thank,concept,date,concept,1
government,concept,decision,concept,3
some,concept,swaps,concept,1
coming,concept,water,concept,1
committee,concept,enron,concept,27
mike,agent,did,concept,2
state,concept,intended,concept,1
sure,concept,need,concept,1
run,concept,report,concept,1
energy,concept,said,concept,1
did,concept,generators,concept,1
having,concept,pretty,concept,1
took,concept,took,concept,1
message,concept,mail,concept,1
yet,concept,generators,concept,1
kim,agent,gas,concept,1
going,concept,work,concept,2
give,concept,some,concept,3
weeks,concept,weeks,concept,1
notify,concept,immediately,concept,3
decision,concept,then,concept,1
power,concept,access,concept,1
did,concept,good,concept,1
information,concept,way,concept,1
some,concept,prices,concept,1
need,concept,market,concept,1
public,concept,utilities,concept,3
state,concept,agency,concept,3
why,concept,why,concept,3
marketing,concept,transmission,concept,1
committee,concept,energy,concept,5
review,concept,back,concept,2
afternoon,concept,discuss,concept,1
like,concept,call,concept,2
today,concept,today,concept,1
traders,concept,use,concept,1
make,concept,issues,concept,1
earlier,concept,date,concept,2
went,concept,lunch,concept,1
state,concept,give,concept,3
high,concept,high,concept,1
trading,concept,corp,concept,1
issues,concept,issues,concept,1
market,concept,like,concept,1
resources,concept,buying,concept,1
through,concept,said,concept,1
sure,concept,info,concept,1
start,concept,general,concept,2
mark,concept,mark,concept,1
price,concept,market,concept,8
power,concept,utilities,concept,3
level,concept,meetings,concept,1
market,concept,number,concept,2
last,concept,judge,concept,6
against,concept,law,concept,1
california,location,gisb,concept,1
use,concept,year,concept,1
make,concept,hour,concept,1
need,concept,need,concept,4
made,concept,california,location,1
error,concept,delete,concept,2
some,concept,need,concept,2
short,concept,report,concept,1
site,concept,notify,concept,1
city,concept,city,concept,1
comments,concept,october,concept,1
deal,concept,kim,agent,1
year,concept,different,concept,1
without,concept,office,concept,2
director,concept,power,concept,1
experience,concept,experience,concept,2
members,concept,san,concept,1
payment,concept,payment,concept,2
business,concept,take,concept,1
enron,concept,give,concept,2
every,concept,ask,concept,1
know,concept,some,concept,1
debra,agent,north,concept,6
big,concept,big,concept,1
actually,concept,related,concept,2
real,concept,show,concept,3
did,concept,like,concept,5
currently,concept,customer,concept,1
thank,concept,said,concept,1
john,agent,john,agent,1
some,concept,area,concept,1
pacific,concept,purchase,concept,1
found,concept,trades,concept,1
business,concept,business,concept,1
full,concept,open,concept,2
know,concept,know,concept,1
trading,concept,california,location,1
cash,concept,money,concept,1
called,concept,order,concept,2
use,concept,capacity,concept,1
know,concept,time,concept,2
contract,concept,last,concept,1
transmission,concept,error,concept,2
prior,concept,meeting,concept,2
actually,concept,line,concept,2
term,concept,short,concept,1
good,concept,back,concept,1
right,concept,right,concept,8
document,concept,order,concept,4
company,concept,sale,concept,3
once,concept,ever,concept,1
time,concept,let,concept,1
let,concept,know,concept,88
next,concept,day,concept,3
traders,concept,more,concept,1
plant,concept,power,concept,2
some,concept,customers,concept,1
issue,concept,issue,concept,1
delete,concept,notify,concept,1
counsel,concept,counsel,concept,1
tomorrow,concept,early,concept,1
smith,agent,texas,location,6
john,agent,know,concept,1
still,concept,still,concept,1
questions,concept,let,concept,5
retail,concept,product,concept,2
real,concept,know,concept,1
early,concept,sheet,concept,1
permit,concept,section,concept,2
enron,concept,enron,concept,1
every,concept,love,concept,1
want,concept,everyone,concept,1
enron,concept,committee,concept,8
discuss,concept,power,concept,1
following,concept,john,agent,2
corp,concept,corp,concept,1
email,concept,later,concept,1
floor,concept,floor,concept,1
error,concept,signed,concept,1
steve,agent,contact,concept,2
some,concept,amount,concept,1
contract,concept,capacity,concept,1
discuss,concept,enron,concept,1
houston,location,office,concept,1
full,concept,need,concept,1
ercot,concept,full,concept,2
far,concept,generators,concept,1
email,concept,last,concept,1
look,concept,meeting,concept,3
agreement,concept,agreement,concept,2
services,concept,requested,concept,1
mike,agent,firm,concept,1
supply,concept,prices,concept,1
committee,concept,committee,concept,1
addition,concept,load,concept,1
contract,concept,use,concept,2
chris,agent,dorland,concept,15
time,concept,using,concept,1
company,concept,order,concept,10
contempt,concept,contempt,concept,2
full,concept,against,concept,4
given,concept,following,concept,2
well,concept,comments,concept,1
against,concept,ferc,concept,1
america,concept,texas,location,6
did,concept,know,concept,3
contracts,concept,prices,concept,1
email,concept,email,concept,1
like,concept,currently,concept,1
need,concept,contract,concept,1
sales,concept,manager,concept,1
presentation,concept,proposed,concept,1
west,concept,texas,location,2
through,concept,high,concept,2
intended,concept,employee,concept,1
good,concept,job,concept,1
currently,concept,points,concept,1
help,concept,help,concept,1
comments,concept,report,concept,1
ercot,concept,access,concept,4
issue,concept,make,concept,3
contracts,concept,swaps,concept,2
open,concept,close,concept,2
week,concept,work,concept,1
north,concept,smith,agent,6
language,concept,language,concept,1
friend,concept,world,concept,1
know,concept,like,concept,3
added,concept,thing,concept,1
going,concept,call,concept,1
purchase,concept,firm,concept,2
next,concept,meeting,concept,3
message,concept,session,concept,1
more,concept,money,concept,2
signed,concept,paid,concept,1
corporation,concept,corporation,concept,1
last,concept,some,concept,1
time,concept,access,concept,2
enron,concept,meeting,concept,1
talking,concept,socal,concept,1
hey,concept,morning,concept,1
week,concept,enron,concept,4
today,concept,issue,concept,1
enron,concept,people,concept,2
california,location,gas,concept,3
need,concept,some,concept,1
agreement,concept,then,concept,2
language,concept,send,concept,1
message,concept,earlier,concept,1
short,concept,power,concept,1
well,concept,energy,concept,1
meeting,concept,jim,agent,1
contracts,concept,morning,concept,1
swaps,concept,market,concept,1
commission,concept,scheduled,concept,1
office,concept,way,concept,1
time,concept,cash,concept,1
report,concept,scheduled,concept,1
far,concept,system,concept,1
contract,concept,america,concept,1
system,concept,state,concept,2
contact,concept,well,concept,1
resources,concept,power,concept,1
order,concept,decision,concept,1
dow,concept,energy,concept,4
pm,concept,comments,concept,1
ask,concept,every,concept,1
copy,concept,send,concept,1
days,concept,appreciate,concept,1
afternoon,concept,term,concept,1
tomorrow,concept,afternoon,concept,2
texas,location,want,concept,1
day,concept,meeting,concept,1
judge,concept,corp,concept,4
capacity,concept,subject,concept,1
some,concept,discussion,concept,1
need,concept,time,concept,1
energy,concept,generators,concept,1
via,concept,making,concept,3
portland,concept,access,concept,1
site,concept,information,concept,1
market,concept,government,concept,1
signed,concept,once,concept,1
email,concept,management,concept,1
signed,concept,copy,concept,1
work,concept,ken,agent,1
still,concept,meeting,concept,2
working,concept,give,concept,1
down,concept,mark,concept,1
desk,concept,joe,agent,1
agency,concept,different,concept,3
well,concept,last,concept,1
index,concept,gas,concept,1
importance,concept,enron,concept,2
actually,concept,people,concept,1
capacity,concept,sold,concept,1
following,concept,need,concept,1
page,concept,reports,concept,1
later,concept,then,concept,1
enron,concept,call,concept,2
think,concept,last,concept,1
money,concept,sunday,concept,1
people,concept,right,concept,1
access,concept,using,concept,1
want,concept,company,concept,1
company,concept,air,concept,1
market,concept,corp,concept,1
way,concept,pick,concept,3
last,concept,issue,concept,1
agency,concept,july,concept,1
energy,concept,last,concept,2
committee,concept,did,concept,2
last,concept,message,concept,2
committee,concept,judge,concept,2
need,concept,corp,concept,1
business,concept,well,concept,2
term,concept,epmi,concept,1
give,concept,company,concept,2
marketing,concept,company,concept,3
marketing,concept,trading,concept,3
last,concept,time,concept,2
turn,concept,state,concept,4
questions,concept,contact,concept,2
public,concept,call,concept,1
through,concept,report,concept,1
utility,concept,show,concept,1
decision,concept,today,concept,1
enron,concept,like,concept,1
received,concept,order,concept,6
hey,concept,everything,concept,1
order,concept,send,concept,1
message,concept,jeff,agent,2
contracts,concept,good,concept,1
use,concept,then,concept,1
document,concept,like,concept,1
chris,agent,old,concept,1
provide,concept,power,concept,1
world,concept,station,concept,1
traders,concept,year,concept,1
then,concept,help,concept,1
jeff,agent,dan,concept,1
houston,location,today,concept,1
agreement,concept,city,concept,1
power,concept,prices,concept,2
information,concept,corporate,concept,1
texas,location,back,concept,1
order,concept,site,concept,1
requested,concept,access,concept,1
california,location,system,concept,1
think,concept,know,concept,2
commercial,concept,send,concept,1
right,concept,last,concept,1
list,concept,related,concept,1
information,concept,price,concept,2
jeff,agent,know,concept,2
once,concept,committee,concept,4
like,concept,more,concept,2
looks,concept,pretty,concept,2
want,concept,send,concept,2
utility,concept,last,concept,1
sure,concept,far,concept,1
order,concept,state,concept,5
enron,concept,want,concept,2
power,concept,issues,concept,1
ready,concept,tell,concept,1
discuss,concept,company,concept,1
provided,concept,via,concept,1
call,concept,state,concept,3
going,concept,mark,concept,1
larry,concept,counsel,concept,4
supply,concept,contracts,concept,1
make,concept,appropriate,concept,1
people,concept,agree,concept,1
products,concept,texas,location,1
total,concept,order,concept,1
energy,concept,prices,concept,3
san,concept,judge,concept,4
email,concept,model,concept,1
sure,concept,copy,concept,1
report,concept,today,concept,1
elizabeth,agent,importance,concept,1
sale,concept,firm,concept,2
found,concept,public,concept,1
trading,concept,enron,concept,3
joe,agent,said,concept,1
more,concept,document,concept,2
question,concept,know,concept,1
system,concept,said,concept,3
application,concept,points,concept,1
access,concept,customers,concept,2
response,concept,steve,agent,1
know,concept,did,concept,2
going,concept,some,concept,2
against,concept,committee,concept,2
meeting,concept,afternoon,concept,2
book,concept,good,concept,1
why,concept,according,concept,1
every,concept,through,concept,1
unit,concept,problems,concept,1
company,concept,comments,concept,1
questions,concept,copy,concept,1
steve,agent,did,concept,1
bad,concept,texas,location,1
swaps,concept,gas,concept,1
add,concept,working,concept,1
discuss,concept,issues,concept,2
company,concept,officials,concept,1
information,concept,said,concept,4
working,concept,central,concept,1
message,concept,ready,concept,1
texas,location,good,concept,1
via,concept,system,concept,4
sender,concept,reply,concept,3
provide,concept,charge,concept,4
committee,concept,last,concept,1
need,concept,make,concept,1
phillip,agent,morning,concept,1
good,concept,california,location,1
hour,concept,game,concept,1
full,concept,contempt,concept,4
last,concept,though,concept,2
sell,concept,power,concept,2
full,concept,then,concept,1
sell,concept,use,concept,1
call,concept,filing,concept,1
still,concept,changes,concept,1
why,concept,need,concept,1
help,concept,some,concept,1
people,concept,well,concept,1
send,concept,copy,concept,7
company,concept,actually,concept,4
some,concept,state,concept,1
time,concept,give,concept,4
list,concept,need,concept,1
information,concept,mail,concept,1
mike,agent,general,concept,1
services,concept,issues,concept,1
order,concept,copy,concept,4
tell,concept,bad,concept,1
back,concept,office,concept,2
trading,concept,level,concept,1
more,concept,click,concept,1
like,concept,going,concept,3
let,concept,information,concept,1
items,concept,like,concept,2
services,concept,trading,concept,1
currently,concept,working,concept,1
plan,concept,sunday,concept,1
july,concept,officials,concept,1
ferc,concept,monday,concept,1
said,concept,then,concept,2
book,concept,date,concept,1
enron,concept,agreement,concept,6
transmission,concept,work,concept,1
once,concept,several,concept,2
having,concept,price,concept,1
having,concept,markets,concept,1
then,concept,use,concept,1
want,concept,take,concept,3
staff,concept,members,concept,3
real,concept,market,concept,1
order,concept,larry,concept,4
california,location,give,concept,1
final,concept,more,concept,2
agreement,concept,committee,concept,4
scheduled,concept,weeks,concept,1
north,concept,houston,location,6
supply,concept,required,concept,2
monday,concept,time,concept,1
need,concept,info,concept,2
steve,agent,water,concept,1
prices,concept,ferc,concept,1
email,concept,week,concept,1
changes,concept,necessary,concept,1
officials,concept,contracts,concept,1
company,concept,agreement,concept,2
password,concept,reports,concept,1
provide,concept,agreement,concept,2
according,concept,california,location,1
gas,concept,contracts,concept,1
energy,concept,dow,concept,4
once,concept,order,concept,4
floor,concept,next,concept,2
day,concept,last,concept,1
trading,concept,good,concept,1
judge,concept,committee,concept,2
let,concept,call,concept,1
price,concept,energy,concept,7
review,concept,call,concept,1
know,concept,help,concept,1
well,concept,working,concept,1
sign,concept,back,concept,1
through,concept,friday,concept,1
electric,concept,firm,concept,1
guy,concept,tell,concept,1
know,concept,right,concept,2
state,concept,company,concept,4
some,concept,help,concept,1
email,concept,ok,concept,2
jeff,agent,smith,agent,5
against,concept,making,concept,1
scheduled,concept,afternoon,concept,1
said,concept,time,concept,1
energy,concept,regulatory,concept,2
give,concept,questions,concept,2
power,concept,some,concept,2
regulatory,concept,power,concept,2
north,concept,customers,concept,1
desk,concept,enron,concept,1
state,concept,price,concept,3
tell,concept,more,concept,1
gas,concept,purchase,concept,2
points,concept,discuss,concept,1
message,concept,day,concept,1
issues,concept,big,concept,1
issue,concept,always,concept,2
enron,concept,did,concept,7
office,concept,use,concept,2
contracts,concept,system,concept,2
order,concept,company,concept,2
california,location,utilities,concept,2
year,concept,cash,concept,1
did,concept,sorry,concept,1
year,concept,back,concept,3
necessary,concept,information,concept,1
deal,concept,number,concept,1
san,concept,corp,concept,2
customer,concept,signed,concept,1
open,concept,document,concept,2
questions,concept,need,concept,1
enron,concept,north,concept,13
said,concept,problem,concept,2
working,concept,then,concept,1
email,concept,message,concept,2
like,concept,copy,concept,1
call,concept,information,concept,2
party,concept,question,concept,1
sales,concept,state,concept,4
time,concept,gas,concept,1
looks,concept,power,concept,1
dorland,concept,back,concept,1
need,concept,way,concept,1
contract,concept,bring,concept,1
west,concept,desk,concept,1
help,concept,questions,concept,1
looks,concept,mike,agent,1
section,concept,heard,concept,2
canada,concept,corp,concept,4
full,concept,senate,concept,10
trading,concept,services,concept,1
weeks,concept,changes,concept,1
people,concept,went,concept,1
copies,concept,enron,concept,2
give,concept,game,concept,2
still,concept,take,concept,1
guy,concept,think,concept,1
enron,concept,order,concept,14
opportunity,concept,once,concept,1
committee,concept,agreement,concept,2
marketing,concept,work,concept,3
people,concept,let,concept,1
wholesale,concept,energy,concept,11
sheet,concept,gas,concept,1
look,concept,language,concept,1
total,concept,amount,concept,1
need,concept,morning,concept,1
business,concept,regulatory,concept,1
gary,agent,power,concept,1
some,concept,love,concept,1
under,concept,agreement,concept,2
report,concept,energy,concept,3
energy,concept,requested,concept,1
document,concept,send,concept,2
next,concept,work,concept,2
good,concept,morning,concept,5
back,concept,work,concept,1
contract,concept,year,concept,1
prices,concept,judge,concept,2
gas,concept,supply,concept,2
copy,concept,dow,concept,4
order,concept,information,concept,6
ask,concept,want,concept,1
know,concept,steve,agent,1
time,concept,good,concept,1
judge,concept,said,concept,4
gas,concept,need,concept,1
office,concept,specific,concept,1
